Date,year,month,day,dow,doy,quarter,is_weekend,days_to_eom,days_from_som,dim,is_last1,is_first1,is_last2,is_first2,is_last3,is_first3,t_days,t_years,regime_pre2019,regime_2019,regime_post2019,sin_y1,cos_y1,sin_y2,cos_y2,sin_y3,cos_y3,sin_y4,cos_y4,sin_y5,cos_y5,sin_w1,cos_w1,sin_w2,cos_w2,sin_m1,cos_m1,sin_m2,cos_m2,hol_new_year,hol_womens_day,hol_reunification,hol_labor_day,hol_national_day,hol_vn_womens_day,hol_dd_1111,hol_dd_1212,hol_christmas_eve,hol_christmas,tet_days_diff,tet_in_7,tet_in_14,tet_before_7,tet_after_7,tet_on,hol_black_friday,promo_spring_sale,promo_spring_sale_since,promo_spring_sale_until,promo_spring_sale_disc,promo_mid_year,promo_mid_year_since,promo_mid_year_until,promo_mid_year_disc,promo_fall_launch,promo_fall_launch_since,promo_fall_launch_until,promo_fall_launch_disc,promo_year_end,promo_year_end_since,promo_year_end_until,promo_year_end_disc,promo_urban_blowout,promo_urban_blowout_since,promo_urban_blowout_until,promo_urban_blowout_disc,promo_rural_special,promo_rural_special_since,promo_rural_special_until,promo_rural_special_disc,is_odd_year,Revenue,COGS
2012-07-14,2012,7,14,5,196,3,1,17,13,31,0,0,0,0,0,0,-2727,-7.46611909650924,1,0,0,-0.2280577712215198,-0.9736476020539838,0.4440958041592176,0.8959793059709459,-0.636727858382198,-0.7710886034432227,0.7958013007903698,0.6055578334563557,-0.9129321980697738,-0.4081112614563476,-0.9749279121818236,-0.2225209339563146,0.4338837391175584,-0.9009688679024188,0.485301962531081,-0.8743466161445821,-0.8486442574947509,0.5289640103269624,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,0,0,0,-1.0,-1.0,0.0,1,21.0,8.0,18.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,3820831.41,3075464.87
2012-07-15,2012,7,15,6,197,3,1,16,14,31,0,0,0,0,0,0,-2726,-7.4633812457221085,1,0,0,-0.2447723008972595,-0.9695805901076308,0.4746529438919349,0.8801730414269229,-0.6756562619728733,-0.7372168036994572,0.8355534504952139,0.5494091657094392,-0.9446165532223592,-0.3281761224987429,-0.7818314824680299,0.6234898018587334,-0.9749279121818236,-0.2225209339563148,0.299363122973358,-0.9541392564000488,-0.5712682150947924,0.8207634412072763,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,0,0,0,-1.0,-1.0,0.0,1,22.0,7.0,18.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,3948841.28,3154482.05
2012-07-16,2012,7,16,0,198,3,0,15,15,31,0,0,0,0,0,0,-2725,-7.460643394934976,1,0,0,-0.2614143985111562,-0.965226663665613,0.5046482954181526,0.8633250245021008,-0.7127855825108473,-0.7013820024527804,0.87135100401364,0.490660195863106,-0.9693168624606876,-0.2458146052401451,0.0,1.0,0.0,1.0,0.1011683219874327,-0.994869323391895,-0.2012985200886611,0.9795299412524944,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,0,0,0,-1.0,-1.0,0.0,1,23.0,6.0,18.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,3503801.49,2708219.59
2012-07-17,2012,7,17,1,199,3,0,14,16,31,0,0,0,0,0,0,-2724,-7.457905544147844,1,0,0,-0.2779791393987801,-0.9605871111248128,0.5340463569360717,0.8454551961182272,-0.7480169550331223,-0.6636796177245282,0.9030245348792224,0.4295889772866198,-0.9868505034357962,-0.1616356516011105,0.7818314824680298,0.6234898018587336,0.9749279121818236,-0.2225209339563143,-0.101168321987432,-0.9948693233918952,0.2012985200886598,0.9795299412524946,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,0,0,0,-1.0,-1.0,0.0,1,24.0,5.0,18.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,4476729.49,3463061.65
2012-07-18,2012,7,18,2,200,3,0,13,17,31,0,0,0,0,0,0,-2723,-7.455167693360712,1,0,0,-0.2944616217868012,-0.9556633054034704,0.5628123335824821,0.8265847065893737,-0.7812565682797488,-0.6242100403868479,0.9304241352383132,0.366484554334882,-0.9970878407382744,-0.0762616407631357,0.9749279121818236,-0.2225209339563143,-0.433883739117558,-0.9009688679024191,-0.2993631229733582,-0.9541392564000488,0.5712682150947928,0.8207634412072761,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,0,0,0,-1.0,-1.0,0.0,1,25.0,4.0,18.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,5184141.46,4072012.16
2012-07-19,2012,7,19,3,201,3,0,12,18,31,0,0,0,0,0,0,-2722,-7.452429842573579,1,0,0,-0.3108569682435036,-0.9504567035349152,0.5909121786151564,0.8067358905889147,-0.81241591448689,-0.5830783668499718,0.9534201253498682,0.3016455943285788,-0.9999531843608732,0.009676212407229,0.4338837391175582,-0.900968867902419,-0.7818314824680299,0.6234898018587334,-0.4853019625310808,-0.8743466161445822,0.8486442574947507,0.5289640103269628,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,0,0,0,-1.0,-1.0,0.0,1,26.0,3.0,18.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,6421487.11,5007270.91
2012-07-20,2012,7,20,4,202,3,0,11,19,31,0,0,0,0,0,0,-2721,-7.449691991786447,1,0,0,-0.3271603271220951,-0.9449688462364056,0.6183126337097825,0.7859322407147274,-0.8414120250581577,-0.5403941192199728,0.9719036673475078,0.2353789739897445,-0.995425349314454,0.0955425242611753,-0.433883739117558,-0.9009688679024191,0.7818314824680296,0.6234898018587337,-0.651372482722222,-0.7587581226927911,0.9884683243281112,0.1514277775045771,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,0,0,0,-1.0,-1.0,0.0,1,27.0,2.0,18.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,5171470.46,4213989.64
2012-07-21,2012,7,21,5,203,3,1,10,20,31,0,0,0,0,0,0,-2720,-7.446954140999315,1,0,0,-0.343366873996388,-0.939201357453208,0.6449812683237445,0.7641983796838971,-0.8681676914867166,-0.4962709536721097,0.9857872803589408,0.1679983270229877,-0.9835378122597298,0.180702440092392,-0.9749279121818236,-0.2225209339563146,0.4338837391175584,-0.9009688679024188,-0.7907757369376986,-0.6121059825476627,0.9680771188662042,-0.2506525322587208,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,0,0,0,-1.0,-1.0,0.0,1,28.0,1.0,18.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,3442157.02,2746075.45
2012-07-22,2012,7,22,6,204,3,1,9,21,31,0,0,0,0,0,0,-2719,-7.444216290212183,1,0,0,-0.3594718130884232,-0.9331559438780432,0.6708865180801582,0.7415600311898435,-0.8926116709398649,-0.450826357816335,0.9950052545447352,0.0998225597165632,-0.9643784639967456,0.2645263279510712,-0.7818314824680299,0.6234898018587334,-0.9749279121818236,-0.2225209339563148,-0.8978045395707417,-0.4403941515576342,0.7907757369376984,-0.612105982547663,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,0,0,0,-1.0,-1.0,0.0,1,29.0,0.0,18.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,3117550.57,2531656.38
2012-07-23,2012,7,23,0,205,3,0,8,22,31,0,0,0,0,0,0,-2718,-7.441478439425051,1,0,0,-0.3754703786876202,-0.9268343944460494,0.6959977221267386,0.7180439894563503,-0.9146788759587108,-0.4041813378607547,0.9995139620968312,0.0311743415887823,-0.938088959642066,0.3463944338433662,0.0,1.0,0.0,1.0,-0.968077118866204,-0.2506525322587213,0.4853019625310824,-0.8743466161445813,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,0,0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,4730517.69,3685006.66
2012-07-24,2012,7,24,1,206,3,0,7,23,31,0,0,0,0,0,0,-2717,-7.438740588637919,1,0,0,-0.3913578365610259,-0.9202385798054076,0.7202851594252706,0.6936780875245466,-0.9343105477678196,-0.3564600964060307,0.9992920637248696,-0.0376214217765748,-0.904863671298158,0.425701463897905,0.7818314824680298,0.6234898018587336,0.9749279121818236,-0.2225209339563143,-0.9987165071710528,-0.0506491688387135,0.1011683219874338,-0.9948693233918948,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,0,0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,4096496.12,3248450.65
2012-07-25,2012,7,25,2,207,3,0,6,24,31,0,0,0,0,0,0,-2716,-7.436002737850787,1,0,0,-0.4071294853542516,-0.9133704517637858,0.7437200839287408,0.6684911643103645,-0.951454412733338,-0.307789701728727,0.994340609653052,-0.1062391264779464,-0.8649482509584351,0.5018610596210309,0.9749279121818236,-0.2225209339563143,-0.433883739117558,-0.9009688679024191,-0.9884683243281114,0.1514277775045766,-0.299363122973358,-0.9541392564000488,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,0,0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,5246688.08,4140019.37
2012-07-26,2012,7,26,3,208,3,0,5,25,31,0,0,0,0,0,0,-2715,-7.433264887063655,1,0,0,-0.4227806579826773,-0.9062320427107696,0.7662747586044899,0.6425130304714689,-0.9660648215530204,-0.2582997494341228,0.9846830346495282,-0.1743540113487385,-0.8186378142731447,0.5743101331528881,0.4338837391175582,-0.900968867902419,-0.7818314824680299,0.6234898018587334,-0.9377521321470804,0.3473052528448203,-0.6513724827222221,-0.758758122692791,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,0,0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,5851965.06,4579171.74
2012-07-27,2012,7,27,4,209,3,0,4,26,31,0,0,0,0,0,0,-2714,-7.430527036276523,1,0,0,-0.4383067230125192,-0.898825465016444,0.7879224882631226,0.6157744331240536,-0.97810287080751,-0.208122017379486,0.970365047111836,-0.2416436950215011,-0.7662747586044906,0.6425130304714681,-0.433883739117558,-0.9009688679024191,0.7818314824680296,0.6234898018587337,-0.8486442574947509,0.5289640103269624,-0.8978045395707416,-0.4403941515576344,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,0,0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,5156699.45,3989402.2
2012-07-28,2012,7,28,5,210,3,1,3,27,31,0,0,0,0,0,0,-2713,-7.427789185489391,1,0,0,-0.4537030860313442,-0.8911529104063088,0.8086376511543126,0.5883070194512693,-0.98753650654923,-0.1573901147866107,0.951454412733338,-0.3077897017287277,-0.7082462315032508,0.7059654917638989,-0.9749279121818236,-0.2225209339563146,0.4338837391175584,-0.9009688679024188,-0.72479278722912,0.6889669190756865,-0.9987165071710528,-0.0506491688387129,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,0,0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,4326956.84,3403662.59
2012-07-29,2012,7,29,6,211,3,1,2,28,31,0,0,0,0,1,0,-2712,-7.425051334702259,1,0,0,-0.4689651910076318,-0.8832166493127127,0.8283957292921138,0.5601432992463508,-0.9943406096530518,-0.1062391264779474,0.9280406337745428,-0.3724789686188263,-0.6449812683237474,0.7641983796838948,-0.7818314824680299,0.6234898018587334,-0.9749279121818236,-0.2225209339563148,-0.5712682150947924,0.8207634412072763,-0.9377521321470804,0.34730525284482,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,0,0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,4804199.65,3819645.91
2012-07-30,2012,7,30,0,212,3,0,1,29,31,0,0,1,0,1,0,-2711,-7.422313483915127,1,0,0,-0.4840885216389758,-0.8750190302029955,0.847173337473877,0.5313166064347815,-0.998497062701478,-0.0548052531836224,0.9002345254572965,-0.4354053274532549,-0.5769476201403175,0.8167811479303523,0.0,1.0,0.0,1.0,-0.3943558551133187,0.9189578116202306,-0.7247927872291202,0.6889669190756863,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,0,0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,6586130.95,5195109.56
2012-07-31,2012,7,31,1,213,3,0,0,30,31,1,0,1,0,1,0,-2710,-7.419575633127994,1,0,0,-0.4990686026885319,-0.8665624788845385,0.8649482509584342,0.5018610596210326,-0.9999947982262414,-0.0032254488771081,0.868167691486717,-0.4962709536721089,-0.5046482954181549,0.8633250245020995,0.7818314824680298,0.6234898018587336,0.9749279121818236,-0.2225209339563143,-0.2012985200886611,0.9795299412524944,-0.3943558551133206,0.9189578116202296,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,0,0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,9151622.14,7142891.18
2012-08-01,2012,8,1,2,214,3,0,30,0,31,0,1,0,1,0,1,-2709,-7.416837782340862,1,0,0,-0.5139010013093103,-0.8578494977869301,0.8816994317707848,0.4718115217065765,-0.9988298281778684,0.0483629438947822,0.8319919011831955,-0.5547877759698494,-0.4286178410077265,0.903485886093344,0.9749279121818236,-0.2225209339563143,-0.433883739117558,-0.9009688679024191,0.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,0,0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,9148357.3,7308514.33
2012-08-02,2012,8,2,3,215,3,0,29,1,31,0,0,0,1,0,1,-2708,-7.41409993155373,1,0,0,-0.5285813283559292,-0.8488826652214553,0.8974070536021568,0.4412035586269627,-0.9950052545447352,0.0998225597165622,0.7918783711724181,-0.6106788397098085,-0.3494183899593994,0.9369668023778543,0.4338837391175582,-0.900968867902419,-0.7818314824680299,0.6234898018587334,0.20129852008866,0.9795299412524944,0.3943558551133185,0.9189578116202306,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,0,0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,9692427.0,7537501.15
2012-08-03,2012,8,3,4,216,3,0,28,2,31,0,0,0,0,0,1,-2707,-7.411362080766598,1,0,0,-0.5431052396834317,-0.8396646346181327,0.912052525275964,0.4100733972568043,-0.9885312610933432,0.1510163760696315,0.748016955033124,-0.6636796177245262,-0.2676355053787699,0.9635202313707016,-0.433883739117558,-0.9009688679024191,0.7818314824680296,0.6234898018587337,0.3943558551133185,0.9189578116202306,0.72479278722912,0.6889669190756866,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,0,0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,9297269.95,7118808.46
2012-08-04,2012,8,4,5,217,3,1,27,3,31,0,0,0,0,0,0,-2706,-7.408624229979466,1,0,0,-0.5574684374327892,-0.8301981337405212,0.9256185127518922,0.3784578825324888,-0.9794250862518064,0.201808078184798,0.7006152447379053,-0.7135392622980498,-0.1838738510513285,0.9829498496360604,-0.9749279121818236,-0.2225209339563146,0.4338837391175584,-0.9009688679024188,0.5712682150947923,0.8207634412072763,0.9377521321470804,0.3473052528448203,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,0,0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,6384195.03,5087528.11
2012-08-05,2012,8,5,6,218,3,1,26,4,31,0,0,0,0,0,0,-2705,-7.405886379192334,1,0,0,-0.5716666713027052,-0.8204859638785327,0.9380889596420648,0.3463944338433696,-0.9677109772087537,0.2520624220102616,0.6498975881398573,-0.7600217924046628,-0.0987527208457756,0.9951120038093983,-0.7818314824680299,0.6234898018587334,-0.9749279121818236,-0.2225209339563148,0.72479278722912,0.6889669190756866,0.9987165071710528,-0.0506491688387126,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,0,0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,2359224.19,1863413.11
2012-08-06,2012,8,6,0,219,3,0,25,5,31,0,0,0,0,0,0,-2704,-7.403148528405202,1,0,0,-0.5856957398073508,-0.8105309990194823,0.9494491062150135,0.3139210007430401,-0.953420125349868,0.3016455943285796,0.5961040271552042,-0.8029072105849764,-0.0129014599494232,0.9999167727021951,0.0,1.0,0.0,1.0,0.8486442574947509,0.5289640103269624,0.8978045395707416,-0.4403941515576344,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,0,0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,3630003.7,2922718.71
